,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
13590,53,1,175897,0,9,1,4,0,0,0,0,0,40,0,0
13591,31,0,369027,0,9,1,8,0,1,0,0,0,37,0,0
13592,56,0,170411,0,9,2,11,2,0,0,4101,0,38,0,0
13593,47,0,171751,0,9,2,2,1,0,1,0,0,40,0,0
13594,37,0,61518,0,9,1,2,0,0,0,0,0,50,0,0
13595,31,0,214235,0,9,1,2,0,0,0,0,1977,40,0,1
13597,44,0,154993,1,10,3,4,3,0,1,0,0,55,0,0
13598,33,0,160594,1,10,1,0,0,0,0,7298,0,40,0,1
13599,22,0,258298,1,10,0,1,2,0,0,0,0,35,0,0
13600,52,0,192666,10,8,3,7,3,1,0,0,0,40,0,0
13601,33,0,156602,2,13,0,2,2,0,0,3325,0,43,0,0
13602,31,0,122116,4,11,1,4,0,0,0,0,0,40,0,0
13603,75,1,73433,0,9,1,5,0,0,0,0,2467,40,29,0
13604,50,0,99185,0,9,0,1,1,0,0,0,0,40,0,0
13605,36,0,203828,0,9,1,4,0,0,0,0,0,40,7,0
13606,58,1,101480,4,11,4,1,1,0,1,0,0,40,0,0
13607,20,5,134815,15,5,0,4,3,0,0,0,625,40,0,0
13608,36,3,235195,1,10,3,3,3,0,1,0,0,32,0,0
13609,26,0,93169,13,12,1,1,4,0,1,0,0,40,0,0
13610,58,1,36091,3,14,0,0,1,4,1,0,0,40,0,0
13611,57,0,124318,0,9,1,1,4,0,1,0,0,45,0,0
13612,46,5,188861,3,14,0,0,1,0,0,0,1564,50,0,1
13614,42,2,54651,8,15,1,3,0,0,0,0,0,40,15,1
13615,34,0,169496,1,10,1,9,0,0,0,0,0,40,0,1
13616,57,0,34366,1,10,1,8,0,0,0,0,0,50,0,0
13617,35,3,213076,2,13,1,11,0,0,0,0,0,40,0,0
13618,36,1,161132,1,10,0,11,1,0,0,0,0,56,0,0
13619,46,0,479406,2,13,1,2,0,0,0,0,1672,40,0,0
13620,39,0,115618,0,9,1,8,0,0,0,0,0,50,0,0
13621,25,5,158033,0,9,0,7,1,0,0,0,0,65,0,0
13622,43,0,108682,1,10,1,7,0,0,0,0,0,40,0,1
13623,26,0,430195,5,7,3,5,3,1,0,0,0,40,0,0
13624,46,1,138107,3,14,1,0,0,0,0,0,1902,60,0,1
13625,27,0,215014,0,9,1,4,0,0,0,0,0,40,0,0
13626,35,0,183279,0,9,1,4,0,0,0,0,0,40,0,0
13627,68,2,119056,0,9,0,2,1,0,0,0,0,24,0,1
13628,52,0,158583,1,10,2,10,1,0,1,0,0,36,0,0
13629,26,0,242464,4,11,0,0,1,0,0,0,0,50,0,0
13630,27,0,35204,1,10,1,4,0,0,0,0,0,46,0,0
13631,52,0,233149,3,14,1,2,0,0,0,15024,0,40,0,1
13632,54,0,182855,14,4,2,1,1,0,1,0,0,40,0,0
13633,29,0,189346,0,9,0,8,3,0,0,0,0,40,0,0
13634,39,0,82726,1,10,1,2,4,0,1,0,0,40,0,0
13635,38,0,179481,1,10,1,0,0,0,0,0,0,45,0,1
13636,19,0,167428,0,9,0,8,2,0,0,0,0,30,0,0
13637,22,0,182117,1,10,0,4,2,0,0,0,0,40,0,0
13638,58,0,162970,1,10,1,2,0,0,0,0,1977,60,0,1
13639,39,0,421633,13,12,2,1,3,1,1,0,0,40,0,0
13640,20,3,231931,1,10,0,3,2,0,0,0,0,40,0,0
13641,26,0,132749,1,10,0,1,2,0,1,0,0,40,0,0
13642,22,0,254351,0,9,0,5,1,0,0,0,0,45,0,0
13643,31,3,152109,4,11,2,11,1,0,0,0,0,40,0,0
13644,42,0,100479,2,13,1,2,0,0,0,0,0,40,0,1
13645,53,1,222405,0,9,0,5,1,1,0,0,0,40,0,0
13646,32,0,117028,0,9,1,4,0,0,0,0,0,40,0,0
13647,33,0,91163,0,9,3,5,5,1,1,0,0,40,0,0
13648,36,0,150104,3,14,1,3,4,0,1,0,0,40,0,1
13649,39,0,114605,0,9,1,7,0,0,0,0,0,40,0,0
13650,33,0,348152,1,10,0,1,1,0,0,0,0,40,0,0
13651,33,0,174463,0,9,0,4,2,0,0,0,0,35,0,0
13652,47,0,180243,2,13,0,2,5,0,1,0,0,40,0,0
13653,31,0,238816,4,11,1,10,0,0,0,0,0,40,0,0
13654,18,0,275848,10,8,0,2,5,0,1,0,0,16,0,0
13655,51,0,114520,0,9,2,2,3,0,0,0,0,16,0,0
13656,34,3,275880,2,13,3,0,3,1,1,0,0,38,0,0
13657,39,0,188148,1,10,0,9,3,1,1,0,0,48,0,0
13658,42,0,112494,1,10,1,4,0,0,0,7298,0,35,0,1
13660,27,0,278736,12,3,1,4,0,0,0,0,0,40,1,0
13662,33,0,252257,8,15,0,3,1,0,1,0,0,40,0,0
13664,27,0,321456,1,10,1,11,0,0,0,0,0,40,0,0
13665,45,5,200825,2,13,1,0,0,0,0,0,0,50,0,1
13666,19,0,86143,0,9,0,2,2,2,0,0,0,20,5,0
13667,40,3,353687,0,9,1,0,4,0,1,0,0,40,0,1
13668,43,1,212847,0,9,2,8,1,0,0,0,0,40,0,0
13669,60,0,154589,0,9,1,4,0,0,0,3103,0,35,0,1
13670,42,0,183765,1,10,1,2,0,0,0,0,0,50,0,0
13671,28,0,186672,0,9,0,1,1,1,0,0,0,40,18,0
13672,50,0,249096,1,10,1,8,0,0,0,0,0,60,0,1
13673,27,0,190784,0,9,1,4,0,0,0,3137,0,45,0,0
13674,25,0,144516,0,9,0,8,1,0,0,0,0,40,0,0
13675,53,0,124993,0,9,1,3,0,0,0,0,0,43,0,1
13676,24,0,111376,0,9,0,9,1,0,0,0,0,40,0,0
13677,40,0,300838,6,2,1,4,0,3,0,0,0,40,1,0
13678,28,0,359049,0,9,0,10,1,0,0,0,1092,60,0,0
13680,46,2,366089,2,13,1,2,0,0,0,0,0,60,0,1
13681,19,0,110998,1,10,0,1,2,2,1,0,0,40,5,0
13682,23,0,60409,1,10,0,10,1,0,1,0,0,40,0,0
13683,55,0,129263,0,9,2,9,3,0,0,0,0,40,0,0
13684,48,0,219967,15,5,1,4,0,0,0,0,0,40,0,0
13685,45,0,171540,0,9,1,4,0,0,0,0,0,40,0,0
13686,55,1,61708,2,13,1,0,0,0,0,0,0,40,0,1
13687,36,0,294760,4,11,1,10,0,0,0,0,0,50,0,0
13688,35,0,209280,0,9,2,5,3,0,1,0,0,31,0,0
13689,31,0,208881,0,9,1,4,0,0,0,0,0,50,0,1
13690,17,0,191535,5,7,0,1,2,0,0,0,0,7,0,0
13691,31,0,143851,13,12,1,3,4,0,1,0,0,40,0,1
13693,20,2,428299,0,9,0,2,2,0,0,0,0,40,0,0
13694,32,2,199366,11,6,5,4,2,0,0,0,0,16,0,0
13695,34,1,484911,0,9,0,4,1,4,0,0,0,40,0,0
13696,37,0,390243,0,9,0,8,1,1,0,0,0,45,0,0
13697,55,2,204502,0,9,1,2,0,0,0,0,0,35,0,0
13698,32,2,114419,4,11,1,4,0,0,0,0,0,50,0,0
13699,49,0,79436,0,9,1,9,0,0,0,0,0,48,0,0
13700,54,0,141272,0,9,1,1,4,0,1,0,0,40,0,1
13701,62,1,123749,2,13,1,0,0,0,0,0,0,40,0,1
13702,18,0,101173,0,9,0,0,2,0,1,0,0,35,0,0
13703,49,0,39518,1,10,1,10,0,0,0,0,0,40,0,1
13704,26,0,250038,15,5,0,6,5,0,0,0,0,40,1,0
13705,59,5,165695,2,13,1,3,0,0,0,0,0,20,0,1
13706,48,1,225594,0,9,1,5,0,1,0,0,0,40,0,0
13707,21,3,51979,1,10,0,5,2,0,1,0,0,11,0,0
13708,31,0,177675,1,10,1,2,0,0,0,0,0,60,0,1
13709,37,0,199739,1,10,2,4,2,0,0,0,0,40,0,0
13710,38,0,27408,0,9,0,6,1,0,0,0,0,60,0,0
13711,28,0,110169,4,11,2,1,1,0,1,0,0,3,0,0
13712,39,2,179488,0,9,1,0,0,0,0,0,0,50,0,0
13713,30,0,118551,2,13,0,2,1,0,1,0,0,35,0,1
13714,71,2,157845,2,13,1,2,0,0,0,0,0,20,0,0
13715,37,2,68899,0,9,1,8,0,0,0,0,0,60,0,1
13716,53,0,58535,0,9,2,2,1,0,1,0,0,40,0,0
13717,39,0,191503,2,13,1,3,0,0,0,0,1887,40,0,1
13718,34,0,113364,13,12,1,5,0,0,0,0,0,35,0,0
13719,34,2,204742,0,9,1,8,0,0,0,0,0,62,0,0
13721,53,0,208122,1,10,1,8,0,3,0,0,0,60,0,1
13722,46,1,174361,3,14,1,3,0,0,0,0,0,40,0,1
13723,23,0,265077,2,13,0,1,2,0,1,1055,0,10,0,0
13724,50,0,241648,4,11,2,5,1,0,1,0,0,20,0,0
13725,30,0,94145,0,9,2,1,3,1,0,0,0,40,0,0
13726,32,0,178449,0,9,0,4,1,0,0,0,0,50,0,0
13727,23,0,236804,2,13,0,0,1,0,0,0,0,30,0,0
13728,53,2,187830,3,14,1,0,0,0,0,7688,0,35,0,1
13729,41,0,66208,8,15,2,3,3,0,1,0,0,45,0,0
13730,42,0,219155,2,13,1,2,0,0,0,15024,0,50,0,1
13731,38,0,99146,0,9,1,8,0,0,0,0,0,65,0,0
13732,45,0,142889,0,9,2,4,3,0,0,0,0,44,0,0
13733,56,0,136164,1,10,2,1,1,0,1,0,0,40,0,0
13734,36,0,154410,2,13,1,3,0,0,0,0,0,40,0,1
13735,65,0,113293,0,9,1,4,0,0,0,0,0,40,0,0
13736,41,0,195096,2,13,1,0,0,0,0,0,0,50,0,1
13737,42,0,172641,14,4,3,7,3,1,1,0,0,40,0,0
13738,43,0,265072,2,13,0,3,1,2,0,0,2258,50,0,1
13739,22,0,305874,0,9,1,4,0,0,0,0,0,60,0,0
13740,51,0,312446,2,13,1,0,0,0,0,0,0,37,0,1
13741,21,0,391312,0,9,0,5,1,1,1,0,0,30,0,0
13742,32,0,234976,1,10,1,0,4,0,1,0,0,55,0,0
13743,19,0,199495,1,10,0,9,2,0,0,0,0,40,0,0
13744,53,0,98561,0,9,4,10,1,0,0,0,0,39,0,1
13746,17,0,188996,15,5,0,2,1,0,1,0,0,30,0,0
13747,46,3,171926,3,14,2,0,3,0,0,7430,0,50,0,1
13748,45,1,310260,2,13,1,3,0,0,0,0,0,50,0,1
13749,52,0,72257,0,9,2,9,1,0,0,0,0,40,0,0
13750,37,2,86643,13,12,0,8,1,0,0,0,0,50,0,0
13751,18,0,115815,5,7,0,5,2,0,0,0,0,20,0,0
13752,53,0,227475,2,13,2,2,1,0,1,0,0,40,0,0
13753,45,1,324550,3,14,1,3,0,0,0,7688,0,40,0,1
13754,37,0,138105,0,9,3,4,3,0,1,0,0,40,0,0
13755,19,0,146189,5,7,0,2,3,4,0,0,0,43,0,0
13756,25,0,478836,1,10,0,0,1,0,0,0,0,40,0,0
13757,57,0,513440,3,14,1,0,0,0,0,0,0,40,1,0
13758,19,0,151806,1,10,0,5,1,0,1,0,0,40,0,0
13760,54,5,263925,0,9,2,2,1,0,0,0,0,50,0,0
13761,29,0,57617,1,10,0,5,1,0,1,0,0,34,0,0
13762,32,0,208761,0,9,0,8,1,0,0,0,0,60,0,0
13764,34,0,173854,3,14,2,0,1,0,0,27828,0,60,0,1
13765,46,1,116906,3,14,0,3,1,1,1,0,2258,35,0,0
13766,43,0,163769,11,6,3,5,3,0,1,0,0,40,0,0
13767,32,4,72630,8,15,0,3,1,0,0,14084,0,55,0,1
13769,67,0,24968,15,5,1,11,0,0,0,0,0,40,0,0
13770,24,0,118514,0,9,0,4,2,0,0,0,0,40,0,0
13772,42,2,99185,2,13,1,4,0,0,0,0,0,50,0,1
13773,32,0,121769,1,10,1,4,0,0,0,0,0,40,0,0
13774,59,0,160271,14,4,3,7,1,0,0,0,0,40,0,0
13775,34,0,123429,1,10,1,1,0,0,0,0,0,60,0,0
13776,24,0,744929,0,9,0,0,2,1,1,0,0,40,0,0
13777,21,0,143604,1,10,0,1,2,0,1,0,0,12,0,0
13778,36,0,284582,1,10,3,2,3,0,1,0,0,40,0,0
13780,53,0,161482,2,13,2,3,1,0,1,0,0,50,0,1
13781,24,2,107452,1,10,1,2,0,0,0,0,0,40,0,0
13782,38,3,534775,1,10,0,10,3,1,1,0,0,50,0,0
13783,51,0,183200,1,10,1,0,0,0,0,0,1902,40,0,0
13784,42,0,169980,1,10,1,4,0,1,0,0,0,50,0,1
13785,22,0,299047,1,10,0,1,2,0,1,0,0,30,0,0
13786,53,0,92475,1,10,0,1,5,0,1,0,0,40,0,0
13787,51,0,114758,5,7,1,7,0,0,0,0,0,48,0,1
13788,65,2,55894,8,15,2,10,1,0,0,0,0,40,0,0
13789,40,0,98466,5,7,1,4,0,0,0,0,0,50,0,0
13790,39,0,170174,4,11,0,1,2,0,0,14344,0,40,0,1
13792,24,0,511231,0,9,0,5,2,1,0,0,0,40,0,0
13793,32,1,257849,0,9,1,8,0,0,0,0,0,40,0,0
13794,40,1,208751,2,13,2,3,3,0,1,0,0,40,0,0
13795,36,0,383566,2,13,1,0,0,0,0,15024,0,55,11,1
13797,40,3,243664,2,13,1,3,4,1,1,0,0,40,0,0
13798,41,0,176716,2,13,1,3,0,0,0,0,1902,40,0,1
13799,38,0,366618,0,9,2,4,1,0,0,0,0,40,0,0
13800,36,5,83748,1,10,1,0,5,2,1,0,0,70,32,0
13801,64,0,278585,0,9,3,7,3,1,1,0,0,40,0,0
13802,47,0,106942,14,4,3,5,1,0,1,0,0,38,0,0
13803,22,0,372898,1,10,0,1,2,0,1,0,0,20,0,0
13804,48,0,183610,4,11,2,10,1,0,1,0,0,40,0,0
13805,45,0,106061,5,7,1,2,0,0,0,0,0,70,0,0
13806,58,3,138130,0,9,0,10,2,1,1,0,0,40,0,0
13807,48,0,43479,4,11,1,9,0,0,0,5013,0,40,0,0
13808,49,0,118520,0,9,2,1,1,0,1,0,0,45,0,0
13809,34,4,207284,10,8,1,4,0,0,0,0,0,40,0,0
13810,43,3,598995,2,13,1,3,4,1,1,3103,0,40,0,1
13811,50,3,141608,0,9,1,5,4,0,1,0,0,30,0,0
13812,31,0,230912,1,10,0,1,1,0,1,0,0,55,0,0
13813,31,0,309170,0,9,0,9,1,0,0,0,0,40,0,0
13814,57,0,27459,0,9,5,8,1,0,0,0,0,40,0,0
13815,33,2,266674,1,10,1,4,0,0,0,7298,0,56,0,1
13816,52,0,93127,5,7,1,5,0,0,0,0,0,32,0,0
13817,43,5,27444,2,13,1,2,0,0,0,99999,0,40,0,1
13818,30,0,131415,2,13,0,12,1,0,1,0,0,60,0,0
13819,54,0,105428,0,9,2,4,1,0,0,0,1741,40,0,0
13820,36,0,139364,2,13,5,0,1,0,0,10520,0,40,41,1
13821,43,0,236936,0,9,2,0,3,0,1,0,0,47,0,1
13822,35,0,109204,2,13,1,8,0,0,0,0,0,40,0,0
13823,56,0,456592,0,9,2,5,3,0,1,0,0,37,0,0
13824,34,2,173201,3,14,0,3,2,0,0,0,0,50,15,0
13826,51,0,111721,0,9,1,5,0,0,0,0,0,35,0,0
13827,39,0,268258,2,13,1,8,0,1,0,7688,0,50,0,1
13828,59,0,128258,0,9,2,1,3,0,1,0,0,38,0,0
13829,46,2,525848,5,7,1,8,0,1,0,0,0,48,0,0
13830,39,0,124090,11,6,1,8,0,0,0,0,0,40,0,0
13831,67,0,249043,1,10,1,2,0,0,0,6767,0,40,0,0
13832,38,0,119098,1,10,0,10,1,0,0,0,0,42,0,0
13834,22,1,49414,1,10,0,1,2,4,1,0,0,40,0,0
13835,30,0,197886,2,13,0,2,2,0,0,0,0,40,0,1
13836,39,6,334291,0,9,1,0,0,0,0,0,0,40,0,0
13839,43,2,83411,2,13,1,2,0,0,0,0,2415,40,0,1
13840,47,1,209968,2,13,1,3,0,0,0,7298,0,40,0,1
13841,20,0,223921,10,8,0,7,2,0,1,0,0,40,0,0
13842,52,1,133403,0,9,1,8,0,0,0,0,0,40,0,1
13843,50,0,75763,4,11,1,8,0,0,0,0,0,65,0,0
13844,34,0,200401,0,9,3,8,2,0,0,0,0,25,12,0
13845,45,0,55272,4,11,1,4,0,0,0,0,0,40,0,0
13846,51,1,194970,0,9,1,0,0,0,0,0,0,40,0,1
13847,38,2,143385,0,9,1,4,0,0,0,0,0,80,0,0
13848,30,0,180317,4,11,2,7,1,0,0,0,0,40,0,0
13849,19,0,255176,0,9,0,1,2,0,1,0,0,20,0,0
13850,37,1,175120,3,14,0,3,1,0,0,0,0,45,0,0
13851,38,5,66687,0,9,1,0,0,0,0,5178,0,50,36,1
13852,27,4,115705,4,11,1,1,0,0,0,7298,0,50,0,1
13854,32,0,111883,13,12,1,3,0,0,0,0,0,40,0,0
13855,23,0,210474,2,13,0,3,2,0,1,0,0,40,0,0
13856,26,0,123472,0,9,0,5,2,0,1,0,0,40,0,0
13857,24,0,257621,2,13,0,0,1,0,1,0,0,40,0,0
13858,35,0,341943,1,10,0,0,1,0,1,0,0,50,0,0
13859,57,0,181242,2,13,1,0,0,0,0,0,0,40,0,1
13860,40,4,187164,2,13,0,10,2,0,0,0,0,40,0,0
13861,32,0,308365,0,9,0,4,5,1,0,0,0,38,0,0
13862,53,2,263439,4,11,1,2,0,0,0,0,0,50,0,1
13863,23,0,442359,0,9,0,2,2,0,1,8614,0,15,0,1
13864,54,2,166368,2,13,0,0,1,0,0,0,0,25,0,0
13865,21,0,116968,1,10,0,1,2,0,0,2597,0,40,0,0
13866,26,0,57593,5,7,1,4,0,0,0,0,0,40,0,0
13867,29,0,247507,11,6,0,4,1,0,0,0,0,43,0,0
13868,38,0,213512,1,10,1,2,0,0,0,0,0,50,0,0
13869,19,0,71691,5,7,0,5,2,0,0,0,0,18,0,0
13871,40,0,244835,1,10,1,2,0,0,0,15024,0,50,0,1
13873,37,0,386461,12,3,2,7,3,0,0,0,0,45,1,0
13874,41,0,154714,4,11,1,4,0,0,0,0,0,40,0,1
13875,47,0,281401,12,3,2,2,5,0,1,0,0,32,1,0
13876,35,0,189251,0,9,0,7,3,0,1,0,0,40,4,0
13877,39,3,102729,13,12,1,10,0,0,0,0,0,40,0,0
13878,29,0,327766,1,10,2,0,3,0,0,0,0,55,0,1
13879,29,0,168479,3,14,0,2,1,0,0,0,0,40,0,0
13880,54,0,249352,2,13,1,4,0,1,0,0,0,40,0,0
13881,24,0,300008,0,9,1,1,4,0,1,0,0,40,0,0
13882,32,0,296466,0,9,1,7,0,0,0,0,0,50,0,1
13883,47,0,199277,0,9,1,7,0,0,0,0,0,50,36,1
13884,36,0,174242,2,13,0,0,1,0,0,0,0,60,0,0
13885,63,0,130968,15,5,2,8,1,0,0,0,0,50,0,0
13886,25,0,288440,2,13,0,10,2,0,1,0,0,40,0,0
13887,36,0,208358,1,10,1,8,0,0,0,0,0,40,0,1
13888,40,2,458168,2,13,1,3,0,0,0,0,0,60,0,0
13889,23,0,37894,0,9,3,5,2,0,1,0,0,40,0,0
13890,38,2,107410,15,5,1,8,0,0,0,0,0,45,0,1
13892,53,0,402016,0,9,1,9,0,0,0,0,0,52,0,1
13893,60,0,258869,9,16,3,12,3,0,1,0,0,30,14,0
13894,35,0,114087,0,9,1,1,4,0,1,5013,0,40,0,0
13895,33,0,116294,2,13,0,3,2,0,1,0,0,40,0,1
13896,21,0,241523,0,9,0,9,2,0,0,0,0,40,0,0
13899,45,3,310049,4,11,1,3,4,2,1,0,0,40,5,1
13900,37,0,293475,13,12,0,3,1,0,1,0,0,40,0,0
13901,60,1,169015,1,10,4,0,1,0,1,0,0,40,0,0
13902,21,0,325762,1,10,0,2,2,0,1,0,0,35,0,0
13903,37,2,101561,4,11,1,6,0,0,0,0,0,50,0,1
13904,41,3,52131,0,9,2,3,2,0,0,0,0,40,0,0
13905,30,0,163867,0,9,1,4,0,0,0,0,0,40,0,0
13906,29,0,204663,0,9,0,4,2,0,0,3325,0,40,0,0
13908,61,2,48846,9,16,1,3,0,0,0,0,0,55,0,1
13909,30,0,264351,2,13,1,8,0,0,0,0,0,25,24,0
13910,41,0,190205,0,9,1,4,0,0,0,0,0,45,0,0
13911,29,0,254450,4,11,0,10,1,0,1,0,0,40,0,0
13912,28,2,29974,4,11,0,6,2,0,0,10520,0,45,0,1
13913,53,4,40641,2,13,1,11,0,0,0,0,0,40,0,1
13914,73,2,256401,9,16,1,3,0,0,0,0,0,28,0,1
13915,25,0,203833,11,6,0,6,1,1,0,0,0,35,27,0
13916,30,0,277455,0,9,0,11,1,0,0,0,0,40,0,0
13917,38,0,176335,1,10,1,3,0,0,0,0,0,40,0,1
13918,51,0,394690,0,9,2,0,1,0,1,0,0,40,0,0
13919,23,3,71996,2,13,0,1,2,2,1,0,0,52,0,0
13920,73,2,110787,9,16,1,0,0,0,0,1409,0,2,0,0
13921,37,3,157641,1,10,0,11,1,0,1,0,0,30,0,0
13922,72,0,164724,2,13,2,2,3,0,1,0,0,28,0,0
13923,30,2,173792,1,10,3,3,3,1,1,0,0,40,0,0
13924,23,0,163595,2,13,1,2,0,0,0,0,0,40,0,0
13926,22,0,193089,0,9,0,9,1,0,0,0,0,43,0,0
13927,28,0,190525,2,13,1,0,0,0,0,0,0,50,0,1
13928,30,0,175878,0,9,1,4,0,0,0,0,0,42,0,1
13929,21,0,161902,5,7,1,9,0,0,0,0,0,40,0,0
13931,42,0,89003,2,13,1,9,0,0,0,0,0,50,0,0
13932,31,0,344200,1,10,1,2,0,0,0,0,0,40,0,0
13934,35,0,85799,0,9,2,1,1,0,1,0,0,40,0,0
13936,26,0,193347,1,10,2,2,2,0,1,0,0,28,0,0
13937,45,2,176814,4,11,1,2,0,0,0,3411,0,40,0,0
13938,27,0,336162,1,10,0,1,5,0,1,0,0,40,0,0
13939,39,0,98975,2,13,0,2,1,0,1,8614,0,50,0,1
13940,71,0,150943,2,13,4,0,5,0,1,0,0,40,0,0
13941,22,1,131573,1,10,0,0,2,0,1,0,0,25,0,0
13942,51,0,138852,11,6,1,4,0,0,0,0,0,50,0,0
13943,48,0,35406,4,11,3,5,1,0,1,0,0,30,0,0
13944,48,0,167159,0,9,0,1,1,0,0,0,0,40,0,0
13945,21,0,80680,0,9,0,5,1,0,1,0,0,64,0,0
13946,55,5,87584,0,9,1,1,4,0,1,0,0,10,0,0
13947,33,0,56121,0,9,0,8,1,0,0,0,0,60,0,0
13948,35,0,284358,0,9,1,0,0,0,0,0,0,50,0,1
13949,22,0,224969,0,9,0,1,2,0,0,0,0,40,0,0
13950,22,0,209034,1,10,0,5,1,0,1,0,0,35,0,0
13952,19,0,57366,1,10,0,7,2,0,1,0,0,30,0,0
13953,23,0,35633,14,4,0,7,1,0,0,0,0,40,0,0
13954,29,0,191177,0,9,0,0,1,0,1,0,0,55,0,0
13955,75,0,199826,1,10,2,2,1,0,1,0,0,36,0,1
13956,54,2,94323,15,5,1,4,4,4,1,0,2163,15,0,0
13958,90,0,272752,1,10,0,5,2,0,0,0,0,10,0,0
13959,34,0,228386,0,9,1,4,4,1,1,0,0,70,0,0
13960,20,0,187149,0,9,0,4,2,1,1,0,0,40,0,0
13961,24,1,335439,0,9,0,1,1,0,1,0,0,38,0,0
13962,24,0,250630,2,13,0,2,3,0,1,0,0,45,0,0
13963,45,1,272182,1,10,1,10,0,1,0,5013,0,40,0,0
13964,29,0,108574,3,14,0,3,1,0,1,0,0,40,0,1
13965,47,3,185400,0,9,1,0,0,0,0,0,0,40,0,1
13966,24,0,406641,0,9,0,2,3,0,1,0,0,50,0,0
13967,29,0,103634,0,9,0,11,3,0,0,0,0,35,0,0
13968,46,0,261059,1,10,1,3,0,0,0,0,0,40,0,1
13969,66,0,199374,3,14,4,2,3,0,1,0,0,20,0,0
13971,32,0,147654,0,9,1,4,0,0,0,0,1902,40,0,1
13972,51,0,129301,15,5,1,8,0,0,0,0,0,45,0,0
13973,29,0,173789,0,9,1,2,0,0,0,0,0,40,0,0
13974,29,0,212588,0,9,1,4,0,0,0,0,0,40,0,0
13975,39,2,457453,0,9,1,4,0,1,0,0,0,40,0,0
13976,65,0,187493,3,14,1,3,0,0,0,20051,0,40,16,1
13977,57,2,20953,3,14,1,2,0,0,0,0,2129,70,0,0
13978,40,0,131650,0,9,1,4,0,0,0,0,0,40,0,0
13980,46,3,114396,3,14,1,3,0,0,0,0,0,40,0,1
13981,19,0,202102,0,9,0,2,1,0,1,0,0,40,0,0
13982,47,0,318360,13,12,1,0,4,0,1,0,0,55,0,1
13983,39,0,160916,15,5,2,5,3,0,1,0,0,40,0,0
13985,30,0,293931,0,9,1,2,0,0,0,0,0,65,0,0
13986,20,0,230824,0,9,0,9,2,0,0,0,0,25,0,0
13988,62,0,584259,0,9,1,2,0,0,0,0,0,44,0,0
13990,38,0,185556,0,9,2,2,1,0,0,0,0,50,0,1
13991,58,1,100054,3,14,1,3,0,0,0,0,0,40,0,1
13992,44,0,172307,2,13,1,0,0,0,0,7688,0,50,0,1
13993,45,0,30840,3,14,2,3,1,0,0,27828,0,50,0,1
13994,27,0,147839,1,10,0,9,1,0,0,0,0,38,0,0
13995,51,0,54465,4,11,2,3,1,0,1,0,0,48,0,0
13996,52,4,418640,3,14,1,3,0,0,0,15024,0,40,27,1
13997,34,0,222130,0,9,0,1,3,0,1,0,0,40,0,0
13998,41,0,187336,0,9,2,0,1,0,1,0,0,40,0,0
13999,30,1,321024,1,10,1,11,0,0,0,0,0,40,0,0
14000,44,0,351262,1,10,1,4,0,1,0,0,0,38,0,1
14001,28,0,181597,0,9,0,4,2,1,0,0,0,40,0,0
14002,41,0,694105,0,9,0,4,3,0,0,0,0,40,0,0
14003,60,0,241013,0,9,1,7,0,1,0,0,0,40,0,0
14005,40,4,158796,0,9,2,1,1,0,1,0,0,40,5,0
14006,41,0,248476,0,9,1,4,0,0,0,0,0,40,0,0
14007,49,0,191277,4,11,2,4,2,0,0,0,0,30,38,0
14008,26,0,273876,0,9,0,5,1,0,0,0,0,60,0,0
14009,33,0,402848,0,9,5,1,5,0,1,0,0,32,0,0
14010,62,0,82906,2,13,1,0,4,0,1,4064,0,35,11,0
14011,45,0,153682,1,10,1,1,0,1,0,0,0,40,0,1
14012,52,0,122412,9,16,1,3,4,0,1,99999,0,35,0,1
14013,26,0,216819,0,9,1,4,0,0,0,0,0,40,0,0
14014,47,0,189680,0,9,3,4,3,0,0,0,0,40,0,1
14015,41,0,147099,3,14,2,0,3,0,1,0,0,40,0,0
14016,38,0,288158,0,9,1,8,0,0,0,0,0,50,0,1
14017,32,0,146161,3,14,1,0,0,0,0,0,0,40,0,1
14019,50,0,91475,0,9,1,8,0,0,0,0,0,40,0,0
14020,32,2,151868,0,9,1,6,0,0,0,5013,0,65,0,0
14021,19,0,118306,0,9,0,9,2,0,0,0,0,40,0,0
14022,33,0,51543,0,9,1,9,0,0,0,0,0,60,0,0
14023,34,0,69727,6,2,1,4,0,0,0,0,0,40,1,0
14024,60,0,186000,11,6,3,5,1,0,1,0,0,40,0,0
14025,25,0,48280,2,13,0,3,1,0,1,0,0,40,0,0
14026,47,0,186935,5,7,1,8,0,1,0,0,0,40,0,0
14027,24,4,104164,0,9,1,1,0,0,0,0,0,40,0,0
14030,19,0,150073,1,10,0,9,5,0,0,0,0,25,0,0
14031,24,0,59792,3,14,0,10,1,2,0,0,0,40,0,0
14032,52,0,24185,0,9,2,4,3,0,0,0,0,84,0,0
14034,27,6,35034,0,9,0,6,2,0,1,0,0,40,0,0
14035,46,0,118714,0,9,1,4,0,0,0,7298,0,40,0,1
14036,33,0,230883,1,10,2,0,3,0,0,0,2824,48,0,1
14037,45,0,149224,0,9,2,1,3,1,1,0,0,50,0,0
14038,35,0,122493,4,11,1,7,0,0,0,0,0,40,0,0
14039,58,0,441227,5,7,1,8,0,1,0,0,0,60,0,0
14040,45,1,272792,3,14,1,3,4,1,1,0,0,50,0,1
